INFO 2021-04-30 10:50:31,023 autoreload 16615 139797028714304 Watching for file changes with StatReloader
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /usr/lib/python3.8/lib-dynload/_opcode.cpython-38-x86_64-linux-gnu.so first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /usr/lib/python3.8/subprocess.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/enums.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /usr/lib/python3.8/selectors.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /usr/lib/python3.8/mimetypes.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,257 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1611661712.7364647
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/base/introspection.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/urls/converters.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django_heroku/__init__.py first seen with mtime 1619092755.945602
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/messages/apps.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/http/request.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /usr/lib/python3.8/typing.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /usr/lib/python3.8/urllib/parse.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/sqlparse/filters/output.py first seen with mtime 1611661712.1884377
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/wsgi.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/templatetags/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1611661712.1884377
DEBUG 2021-04-30 10:50:31,258 autoreload 16615 139797028714304 File /usr/lib/python3.8/threading.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /usr/lib/python3.8/keyword.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/urls/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /usr/lib/python3.8/inspect.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /usr/lib/python3.8/getpass.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/asyncio.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/log.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/mime/nonmultipart.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/decorators.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/serializers/base.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/pytz/tzinfo.py first seen with mtime 1611661712.2524407
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/sqlparse/filters/reindent.py first seen with mtime 1611661712.1884377
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /usr/lib/python3.8/sqlite3/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,259 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/files/locks.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /usr/lib/python3.8/_collections_abc.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /usr/lib/python3.8/unittest/runner.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/migrations/operations/base.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /usr/lib/python3.8/sre_parse.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /usr/lib/python3.8/logging/handlers.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/test/runner.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/baseconv.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,260 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/signals.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /usr/lib/python3.8/queue.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /usr/lib/python3.8/xml/dom/domreg.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/files/utils.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /usr/lib/python3.8/collections/abc.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/urls/utils.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /usr/lib/python3.8/ctypes/_endian.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/functions/window.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,261 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/admin/models.py first seen with mtime 1611661712.5844572
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/info/views.py first seen with mtime 1619692936.8614926
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /usr/lib/python3.8/stat.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /usr/lib/python3.8/asyncio/base_subprocess.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/functions/math.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /usr/lib/python3.8/xml/dom/NodeFilter.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /usr/lib/python3.8/pickle.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/admin/apps.py first seen with mtime 1611661712.5284545
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/sites/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/sessions/apps.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /usr/lib/python3.8/concurrent/futures/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/ddl_references.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /usr/lib/python3.8/shutil.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,262 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/servers/basehttp.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/asyncio/sslproto.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/mime/text.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/apps/__init__.py first seen with mtime 1611661712.4604511
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/unittest/result.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/html/parser.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/files/move.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/concurrent/futures/thread.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/info/__init__.py first seen with mtime 1611663311.5163293
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/json/encoder.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/urllib/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/quopri.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/auth/signals.py first seen with mtime 1611661712.7364647
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/encodings/latin_1.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,263 autoreload 16615 139797028714304 File /usr/lib/python3.8/contextvars.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/http/multipartparser.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/template/engine.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/views/generic/base.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/fields/files.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /usr/lib/python3.8/lib-dynload/_contextvars.cpython-38-x86_64-linux-gnu.so first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /usr/lib/python3.8/unittest/main.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /usr/lib/python3.8/encodings/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/mime/message.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /usr/lib/python3.8/distutils/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,264 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/admin/utils.py first seen with mtime 1611661712.5844572
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/messages/constants.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /usr/lib/python3.8/pathlib.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /usr/lib/python3.8/wsgiref/handlers.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/reds/settings/dev.py first seen with mtime 1619693541.5988452
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1611661712.7364647
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/forms/models.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /usr/lib/python3.8/uuid.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /usr/lib/python3.8/lib-dynload/_asyncio.cpython-38-x86_64-linux-gnu.so first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/views/decorators/debug.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/sqlparse/filters/others.py first seen with mtime 1611661712.1884377
DEBUG 2021-04-30 10:50:31,265 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/numberformat.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/encoders.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/sre_compile.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/hmac.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/encodings/utf_8.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/migrations/state.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1611661712.1844375
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/manage.py first seen with mtime 1619779274.5308392
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/checks/security/base.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/asyncio/events.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/_encoded_words.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/signing.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/base/features.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1611661712.1884377
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/backends/base/client.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,266 autoreload 16615 139797028714304 File /usr/lib/python3.8/encodings/aliases.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/functions/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/hashable.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/messages/api.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/admin/filters.py first seen with mtime 1611661712.5844572
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1611661712.7364647
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /usr/lib/python3.8/sqlite3/dbapi2.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/apps/registry.py first seen with mtime 1611661712.4604511
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /usr/lib/python3.8/unittest/async_case.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/utils/tree.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/views/decorators/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,267 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/feedparser.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/checks/security/sessions.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /usr/lib/python3.8/email/_policybase.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /usr/lib/python3.8/urllib/response.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /usr/lib/python3.8/pdb.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /usr/lib/python3.8/asyncio/coroutines.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/core/files/base.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /usr/lib/python3.8/importlib/__init__.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/__init__.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,268 autoreload 16615 139797028714304 File /usr/lib/python3.8/json/decoder.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/forms/utils.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /usr/lib/python3.8/os.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /home/seantakei/Desktop/reds/11_env/lib/python3.8/site-packages/django/db/models/fields/mixins.py first seen with mtime 1611661712.9164736
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /usr/lib/python3.8/ssl.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /usr/lib/python3.8/asyncio/format_helpers.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /usr/lib/python3.8/asyncio/subprocess.py first seen with mtime 1595941180.0
DEBUG 2021-04-30 10:50:31,269 autoreload 16615 139797028714304 File /usr/lib/python3.8/calendar.py first seen with mtime 1595941180.0
